episode,ckpt,distance_to_goal,SR,SPL,collisions_count
21.0,1.0,2.37,0.0,0.0,0.0
12.0,22.0,0.1,1.0,0.56,29.0
16.0,30.0,0.06,1.0,0.91,5.0
38.0,32.0,0.17,1.0,1.0,0.0
35.0,37.0,0.18,1.0,0.84,0.0
12.0,42.0,0.69,0.0,0.0,18.0
29.0,7.0,0.18,1.0,0.83,2.0
16.0,42.0,0.5,0.0,0.0,12.0
15.0,35.0,0.08,1.0,0.81,0.0
33.0,12.0,0.22,0.0,0.0,0.0
21.0,38.0,0.06,1.0,0.98,3.0
15.0,24.0,0.14,1.0,0.83,1.0
7.0,21.0,0.07,1.0,0.8,5.0
38.0,14.0,0.15,1.0,0.86,3.0
26.0,43.0,0.17,1.0,1.0,3.0
7.0,46.0,0.46,0.0,0.0,3.0
12.0,31.0,0.4,0.0,0.0,10.0
35.0,43.0,0.16,1.0,0.84,0.0
26.0,37.0,0.32,0.0,0.0,5.0
26.0,44.0,0.2,1.0,1.0,7.0
19.0,36.0,0.09,1.0,0.93,0.0
7.0,25.0,0.22,0.0,0.0,3.0
35.0,18.0,0.46,0.0,0.0,0.0
3.0,17.0,0.09,1.0,0.79,2.0
19.0,40.0,1.17,0.0,0.0,0.0
16.0,39.0,0.14,1.0,0.88,8.0
7.0,14.0,0.07,1.0,0.77,9.0
33.0,26.0,0.09,1.0,0.98,3.0
23.0,32.0,0.11,1.0,0.69,0.0
16.0,38.0,1.29,0.0,0.0,5.0
29.0,25.0,0.05,1.0,1.0,2.0
20.0,26.0,0.08,1.0,0.96,5.0
19.0,29.0,0.24,0.0,0.0,0.0
3.0,26.0,0.08,1.0,0.86,2.0
7.0,1.0,2.3,0.0,0.0,1.0
7.0,15.0,0.36,0.0,0.0,8.0
39.0,17.0,0.49,0.0,0.0,0.0
39.0,10.0,0.48,0.0,0.0,0.0
19.0,0.0,2.32,0.0,0.0,3.0
12.0,14.0,0.12,1.0,0.72,7.0
23.0,12.0,0.13,1.0,0.89,0.0
3.0,9.0,0.96,0.0,0.0,1.0
39.0,25.0,0.65,0.0,0.0,2.0
20.0,22.0,0.62,0.0,0.0,2.0
19.0,24.0,0.44,0.0,0.0,6.0
29.0,48.0,0.48,0.0,0.0,2.0
23.0,0.0,1.5,0.0,0.0,0.0
39.0,20.0,0.52,0.0,0.0,0.0
29.0,36.0,0.08,1.0,0.49,2.0
38.0,17.0,0.18,1.0,0.92,0.0
16.0,19.0,0.08,1.0,0.89,7.0
20.0,28.0,0.19,1.0,0.82,4.0
29.0,34.0,0.18,1.0,0.72,1.0
15.0,28.0,0.06,1.0,0.81,0.0
39.0,4.0,0.56,0.0,0.0,0.0
3.0,7.0,1.17,0.0,0.0,1.0
3.0,40.0,0.26,0.0,0.0,5.0
15.0,34.0,0.13,1.0,0.81,0.0
26.0,1.0,0.36,0.0,0.0,0.0
39.0,1.0,1.59,0.0,0.0,0.0
19.0,44.0,0.43,0.0,0.0,0.0
3.0,45.0,0.15,1.0,0.75,4.0
35.0,21.0,0.2,1.0,0.76,0.0
33.0,35.0,0.05,1.0,0.95,2.0
15.0,23.0,0.34,0.0,0.0,1.0
23.0,44.0,0.46,0.0,0.0,0.0
3.0,4.0,1.46,0.0,0.0,4.0
33.0,17.0,0.07,1.0,0.95,0.0
20.0,17.0,0.12,1.0,0.96,0.0
23.0,8.0,0.03,1.0,0.89,0.0
33.0,13.0,0.19,1.0,0.85,0.0
33.0,28.0,0.09,1.0,0.95,2.0
33.0,44.0,0.24,0.0,0.0,1.0
21.0,26.0,0.12,1.0,0.95,0.0
3.0,3.0,0.75,0.0,0.0,7.0
15.0,3.0,0.09,1.0,0.63,0.0
35.0,22.0,0.14,1.0,0.76,0.0
39.0,2.0,0.11,1.0,0.22,2.0
35.0,27.0,0.05,1.0,0.94,0.0
12.0,19.0,0.35,0.0,0.0,22.0
38.0,11.0,0.09,1.0,0.92,0.0
12.0,18.0,0.39,0.0,0.0,62.0
7.0,2.0,0.06,1.0,0.56,5.0
19.0,28.0,0.45,0.0,0.0,2.0
26.0,21.0,1.25,0.0,0.0,7.0
33.0,5.0,0.68,0.0,0.0,0.0
38.0,35.0,0.11,1.0,0.84,1.0
26.0,35.0,0.1,1.0,0.98,2.0
29.0,21.0,0.31,0.0,0.0,2.0
35.0,20.0,0.17,1.0,0.76,0.0
39.0,21.0,0.64,0.0,0.0,0.0
20.0,46.0,0.65,0.0,0.0,3.0
33.0,16.0,0.19,1.0,0.95,0.0
21.0,16.0,0.47,0.0,0.0,0.0
21.0,28.0,0.06,1.0,0.86,0.0
16.0,31.0,0.05,1.0,0.85,6.0
29.0,20.0,0.21,0.0,0.0,2.0
16.0,27.0,0.38,0.0,0.0,4.0
15.0,49.0,0.04,1.0,0.81,0.0
35.0,3.0,0.08,1.0,0.69,0.0
35.0,5.0,0.13,1.0,0.54,0.0
21.0,27.0,0.07,1.0,0.95,0.0
15.0,14.0,0.27,0.0,0.0,2.0
29.0,29.0,0.37,0.0,0.0,1.0
35.0,49.0,0.12,1.0,0.76,0.0
21.0,29.0,0.21,0.0,0.0,0.0
3.0,27.0,0.04,1.0,0.91,3.0
21.0,34.0,0.11,1.0,0.61,3.0
23.0,15.0,0.33,0.0,0.0,0.0
7.0,32.0,0.17,1.0,0.52,3.0
12.0,1.0,0.48,0.0,0.0,5.0
29.0,47.0,0.06,1.0,0.61,4.0
21.0,22.0,0.24,0.0,0.0,0.0
3.0,5.0,0.14,1.0,0.74,11.0
29.0,8.0,0.42,0.0,0.0,2.0
29.0,12.0,0.16,1.0,0.76,2.0
20.0,14.0,0.16,1.0,0.75,6.0
3.0,31.0,0.16,1.0,0.63,6.0
3.0,18.0,0.12,1.0,0.75,3.0
19.0,10.0,1.17,0.0,0.0,0.0
29.0,19.0,0.28,0.0,0.0,2.0
23.0,23.0,0.47,0.0,0.0,0.0
26.0,6.0,0.12,1.0,0.75,7.0
20.0,33.0,0.2,1.0,0.88,6.0
12.0,17.0,0.34,0.0,0.0,36.0
38.0,24.0,0.25,0.0,0.0,0.0
26.0,40.0,0.13,1.0,0.96,5.0
3.0,43.0,0.32,0.0,0.0,3.0
33.0,30.0,0.04,1.0,0.95,1.0
20.0,36.0,0.18,1.0,0.87,4.0
3.0,24.0,0.12,1.0,0.81,4.0
3.0,15.0,0.14,1.0,0.87,3.0
3.0,32.0,0.41,0.0,0.0,5.0
7.0,19.0,0.19,1.0,0.79,6.0
12.0,11.0,0.34,0.0,0.0,19.0
33.0,15.0,0.19,1.0,0.87,3.0
29.0,49.0,0.89,0.0,0.0,2.0
26.0,42.0,0.14,1.0,1.0,1.0
20.0,39.0,0.15,1.0,0.87,0.0
7.0,29.0,0.35,0.0,0.0,16.0
7.0,30.0,0.2,1.0,0.51,9.0
20.0,1.0,2.3,0.0,0.0,1.0
20.0,41.0,0.17,1.0,0.87,2.0
33.0,25.0,0.14,1.0,1.0,1.0
19.0,30.0,0.1,1.0,0.95,2.0
7.0,16.0,1.69,0.0,0.0,1.0
21.0,43.0,0.13,1.0,0.82,4.0
35.0,41.0,0.17,1.0,0.94,0.0
23.0,45.0,0.14,1.0,0.78,0.0
35.0,29.0,0.8,0.0,0.0,0.0
19.0,3.0,0.02,1.0,0.67,0.0
7.0,23.0,0.22,0.0,0.0,0.0
26.0,24.0,0.04,1.0,0.94,0.0
16.0,44.0,0.76,0.0,0.0,5.0
